Lat,Lon,City,Type,Year,Month,Date,Count
33.5362495638468,-116.037734029266,MECCA,WNVPools,2016,9,2016-09-01,1
33.5362495638468,-116.037734029266,MECCA,WNVPools,2018,10,2018-10-01,1
33.5362495638468,-116.037734029266,MECCA,WNVPools,2015,9,2015-09-01,1
33.5362495638468,-116.037734029266,MECCA,WNVPools,2019,7,2019-07-01,1
33.5362495638468,-116.037734029266,MECCA,WNVPools,2010,7,2010-07-01,4
33.5362495638468,-116.037734029266,MECCA,WNVPools,2019,9,2019-09-01,3
33.5362495638468,-116.037734029266,MECCA,WNVPools,2019,6,2019-06-01,16
33.5362495638468,-116.037734029266,MECCA,WNVPools,2010,8,2010-08-01,4
33.5362495638468,-116.037734029266,MECCA,WNVPools,2017,7,2017-07-01,2
33.5362495638468,-116.037734029266,MECCA,WNVPools,2011,9,2011-09-01,1
33.5362495638468,-116.037734029266,MECCA,WNVPools,2014,8,2014-08-01,2
33.5362495638468,-116.037734029266,MECCA,WNVPools,2008,10,2008-10-01,2
33.5362495638468,-116.037734029266,MECCA,WNVPools,2018,8,2018-08-01,1
33.5362495638468,-116.037734029266,MECCA,WNVPools,2018,7,2018-07-01,2
33.5362495638468,-116.037734029266,MECCA,WNVPools,2016,8,2016-08-01,1
33.5362495638468,-116.037734029266,MECCA,WNVPools,2005,9,2005-09-01,1
33.5362495638468,-116.037734029266,MECCA,WNVPools,2011,8,2011-08-01,1
33.5362495638468,-116.037734029266,MECCA,WNVPools,2013,7,2013-07-01,1
33.5362495638468,-116.037734029266,MECCA,WNVPools,2012,7,2012-07-01,2
33.5362495638468,-116.037734029266,MECCA,WNVPools,2017,6,2017-06-01,1
33.5362495638468,-116.037734029266,MECCA,WNVPools,2008,9,2008-09-01,1
33.9665135619703,-117.69768218918,CHINO HILLS,WNVPools,2017,8,2017-08-01,3
33.9665135619703,-117.69768218918,CHINO HILLS,WNVPools,2017,7,2017-07-01,4
33.9665135619703,-117.69768218918,CHINO HILLS,WNVPools,2017,6,2017-06-01,2
33.9665135619703,-117.69768218918,CHINO HILLS,WNVPools,2018,4,2018-04-01,1
33.9665135619703,-117.69768218918,CHINO HILLS,WNVPools,2019,6,2019-06-01,1
33.9665135619703,-117.69768218918,CHINO HILLS,WNVPools,2017,5,2017-05-01,1
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2015,9,2015-09-01,7
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2009,8,2009-08-01,10
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2004,6,2004-06-01,4
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2017,7,2017-07-01,1
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2019,8,2019-08-01,1
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2004,7,2004-07-01,6
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2015,7,2015-07-01,8
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2015,6,2015-06-01,3
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2017,9,2017-09-01,1
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2015,8,2015-08-01,5
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2009,9,2009-09-01,4
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2008,8,2008-08-01,2
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2010,9,2010-09-01,1
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2009,7,2009-07-01,2
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2008,9,2008-09-01,2
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2005,8,2005-08-01,2
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2013,7,2013-07-01,1
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2011,9,2011-09-01,1
34.0450350991598,-117.610576617847,ONTARIO,WNVPools,2016,8,2016-08-01,1
37.5705733258238,-121.179464670448,STANISLAUS,WNVPools,2009,8,2009-08-01,5
37.5705733258238,-121.179464670448,STANISLAUS,WNVPools,2012,8,2012-08-01,5
37.5705733258238,-121.179464670448,STANISLAUS,WNVPools,2006,8,2006-08-01,1
37.5705733258238,-121.179464670448,STANISLAUS,WNVPools,2012,9,2012-09-01,1
37.5705733258238,-121.179464670448,STANISLAUS,WNVPools,2005,9,2005-09-01,1
37.2513442377282,-121.867671671417,SAN JOSE,WNVPools,2011,8,2011-08-01,1
38.3728811973616,-121.497172979583,SACRAMENTO,WNVPools,2020,8,2020-08-01,1
38.3728811973616,-121.497172979583,SACRAMENTO,WNVPools,2007,8,2007-08-01,2
38.3728811973616,-121.497172979583,SACRAMENTO,WNVPools,2006,8,2006-08-01,1
38.3728811973616,-121.497172979583,SACRAMENTO,WNVPools,2007,7,2007-07-01,2
38.3728811973616,-121.497172979583,SACRAMENTO,WNVPools,2015,9,2015-09-01,2
38.3728811973616,-121.497172979583,SACRAMENTO,WNVPools,2015,8,2015-08-01,2
38.3728811973616,-121.497172979583,SACRAMENTO,WNVPools,2017,7,2017-07-01,1
38.3728811973616,-121.497172979583,SACRAMENTO,WNVPools,2016,9,2016-09-01,1
38.3728811973616,-121.497172979583,SACRAMENTO,WNVPools,2006,10,2006-10-01,1
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2011,9,2011-09-01,9
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2012,8,2012-08-01,13
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2012,9,2012-09-01,8
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2011,8,2011-08-01,11
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2010,8,2010-08-01,7
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2010,9,2010-09-01,3
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2010,7,2010-07-01,7
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2020,8,2020-08-01,1
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2018,7,2018-07-01,1
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2011,10,2011-10-01,3
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2014,8,2014-08-01,2
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2012,7,2012-07-01,7
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2017,6,2017-06-01,1
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2015,7,2015-07-01,2
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2014,7,2014-07-01,2
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2013,7,2013-07-01,1
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2016,6,2016-06-01,1
35.467412405943,-119.082628966352,SHAFTER,WNVPools,2012,10,2012-10-01,1
35.2650388991803,-118.90882959625,LAMONT,WNVPools,2015,7,2015-07-01,2
35.2650388991803,-118.90882959625,LAMONT,WNVPools,2018,8,2018-08-01,1
35.2650388991803,-118.90882959625,LAMONT,WNVPools,2017,9,2017-09-01,2
35.2650388991803,-118.90882959625,LAMONT,WNVPools,2013,7,2013-07-01,2
35.2650388991803,-118.90882959625,LAMONT,WNVPools,2011,8,2011-08-01,2
35.2650388991803,-118.90882959625,LAMONT,WNVPools,2012,8,2012-08-01,3
35.2650388991803,-118.90882959625,LAMONT,WNVPools,2019,8,2019-08-01,1
35.2650388991803,-118.90882959625,LAMONT,WNVPools,2016,7,2016-07-01,1
35.2650388991803,-118.90882959625,LAMONT,WNVPools,2012,6,2012-06-01,2
35.2650388991803,-118.90882959625,LAMONT,WNVPools,2010,8,2010-08-01,3
35.2650388991803,-118.90882959625,LAMONT,WNVPools,2012,7,2012-07-01,2
35.2650388991803,-118.90882959625,LAMONT,WNVPools,2010,7,2010-07-01,1
35.2650388991803,-118.90882959625,LAMONT,WNVPools,2010,9,2010-09-01,1
35.2650388991803,-118.90882959625,LAMONT,WNVPools,2019,7,2019-07-01,1
35.2650388991803,-118.90882959625,LAMONT,WNVPools,2014,8,2014-08-01,1
35.2650388991803,-118.90882959625,LAMONT,WNVPools,2020,8,2020-08-01,1
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2012,6,2012-06-01,1
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2008,7,2008-07-01,28
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2018,8,2018-08-01,3
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2020,7,2020-07-01,1
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2015,9,2015-09-01,1
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2014,8,2014-08-01,6
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2019,7,2019-07-01,1
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2020,8,2020-08-01,1
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2016,7,2016-07-01,2
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2013,9,2013-09-01,3
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2012,7,2012-07-01,4
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2020,9,2020-09-01,2
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2008,8,2008-08-01,15
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2017,7,2017-07-01,2
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2017,8,2017-08-01,2
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2016,6,2016-06-01,1
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2009,6,2009-06-01,1
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2013,7,2013-07-01,3
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2017,9,2017-09-01,1
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2007,9,2007-09-01,1
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2016,8,2016-08-01,1
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2007,7,2007-07-01,2
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2010,10,2010-10-01,1
38.5144758140885,-121.353420066233,SACRAMENTO,WNVPools,2020,6,2020-06-01,1
38.648477266053,-121.249420232164,FAIR OAKS,WNVPools,2012,8,2012-08-01,1
38.648477266053,-121.249420232164,FAIR OAKS,WNVPools,2018,8,2018-08-01,1
38.648477266053,-121.249420232164,FAIR OAKS,WNVPools,2016,6,2016-06-01,5
38.648477266053,-121.249420232164,FAIR OAKS,WNVPools,2016,7,2016-07-01,2
38.648477266053,-121.249420232164,FAIR OAKS,WNVPools,2019,9,2019-09-01,3
38.648477266053,-121.249420232164,FAIR OAKS,WNVPools,2018,7,2018-07-01,1
38.648477266053,-121.249420232164,FAIR OAKS,WNVPools,2010,8,2010-08-01,1
38.648477266053,-121.249420232164,FAIR OAKS,WNVPools,2015,9,2015-09-01,1
38.648477266053,-121.249420232164,FAIR OAKS,WNVPools,2014,9,2014-09-01,1
38.648477266053,-121.249420232164,FAIR OAKS,WNVPools,2012,7,2012-07-01,1
38.648477266053,-121.249420232164,FAIR OAKS,WNVPools,2014,7,2014-07-01,3
38.648477266053,-121.249420232164,FAIR OAKS,WNVPools,2014,8,2014-08-01,1
32.9330532389909,-117.24454082978,SAN DIEGO,WNVPools,2016,5,2016-05-01,8
32.9330532389909,-117.24454082978,SAN DIEGO,WNVPools,2016,6,2016-06-01,1
36.3202057580729,-119.357199060588,VISALIA,WNVPools,2015,7,2015-07-01,16
36.3202057580729,-119.357199060588,VISALIA,WNVPools,2014,7,2014-07-01,10
36.3202057580729,-119.357199060588,VISALIA,WNVPools,2018,9,2018-09-01,1
